Shipment_ID,Distance_km,Shipment_Weight_kg,Traffic_Level,Weather_Risk,Number_of_Stops,Vehicle_Age_Years,Warehouse_Delay_Hours,Priority,Delivery_Time_Hours
SHIP-1169,476.81,174.78,9,3,4,2.4,3.41,Standard,24.79
SHIP-1170,545.28,257.48,8,3,7,2.6,1.55,Standard,25.86
SHIP-1171,23.1,392.04,2,1,9,5.0,3.62,Standard,10.88
SHIP-1172,414.55,198.87,9,2,2,5.1,4.77,Express,23.92
SHIP-1173,188.93,311.42,7,4,3,10.6,3.63,Express,14.41
SHIP-1174,519.69,431.32,9,2,4,6.4,4.33,Express,25.75
SHIP-1175,147.75,474.81,6,5,1,8.8,0.11,Express,10.56
SHIP-1176,555.84,74.39,6,3,7,1.7,3.62,Standard,23.86
SHIP-1177,315.52,463.37,4,1,2,3.1,4.16,Standard,16.99
SHIP-1178,750.02,246.57,10,1,5,8.6,0.3,Express,26.42
SHIP-1179,118.64,129.86,10,4,1,1.1,4.37,Standard,18.64
SHIP-1180,279.44,230.11,2,2,3,6.1,1.36,Express,8.85
SHIP-1181,99.64,490.04,7,4,2,7.4,3.36,Standard,17.61
SHIP-1182,740.51,246.82,5,3,1,7.4,4.02,Standard,25.19
SHIP-1183,703.1,165.05,6,4,7,0.8,3.35,Express,25.39
SHIP-1184,213.77,317.07,2,1,5,4.2,0.55,Express,9.35
SHIP-1185,531.39,120.83,5,1,1,7.8,3.02,Standard,19.33
SHIP-1186,655.61,38.86,10,5,6,2.2,2.79,Express,28.47
SHIP-1187,448.61,65.31,4,5,5,8.5,4.51,Standard,20.08
SHIP-1188,428.42,64.89,9,3,3,9.1,2.08,Express,20.73
SHIP-1189,201.06,76.8,6,2,7,11.8,1.67,Express,14.59
SHIP-1190,83.55,70.27,2,4,9,2.9,3.77,Express,11.37
SHIP-1191,718.8,320.8,1,3,9,10.0,2.12,Express,20.35
SHIP-1192,721.33,91.76,5,5,9,6.5,3.27,Standard,28.87
SHIP-1193,510.15,173.49,9,4,2,4.8,3.27,Standard,24.65
SHIP-1194,277.83,448.5,6,5,3,1.9,4.45,Express,18.16
SHIP-1195,285.88,237.51,10,4,7,9.0,3.03,Standard,21.12
SHIP-1196,583.5,334.11,7,2,5,3.2,2.56,Express,24.43
SHIP-1197,718.72,86.99,5,3,2,4.8,0.78,Standard,21.64
SHIP-1198,710.8,96.95,10,4,3,1.2,0.67,Express,25.03
SHIP-1199,626.1,21.39,6,1,6,9.7,0.86,Express,17.8
SHIP-1200,517.21,85.3,5,1,7,9.3,0.94,Express,20.2
SHIP-1201,76.47,140.02,9,4,9,8.9,3.23,Standard,18.57
SHIP-1202,137.69,89.33,6,4,1,3.9,3.73,Express,13.28
SHIP-1203,719.86,45.26,8,4,7,2.5,2.7,Standard,30.38
SHIP-1204,489.08,61.2,2,1,8,7.8,4.16,Standard,19.44
SHIP-1205,17.27,230.93,9,1,3,6.2,4.96,Express,15.04
SHIP-1206,90.16,103.96,5,4,4,2.5,4.12,Express,10.41
SHIP-1207,534.17,182.77,7,5,6,8.4,3.5,Express,25.55
SHIP-1208,14.0,252.21,10,5,7,11.9,2.71,Standard,20.37
SHIP-1209,137.04,345.51,1,2,4,9.1,2.3,Standard,9.54
SHIP-1210,443.5,20.62,10,3,8,9.0,0.51,Standard,24.67
SHIP-1211,556.6,399.91,5,5,5,11.4,2.06,Standard,26.33
SHIP-1212,525.05,314.32,10,1,1,2.8,4.56,Standard,24.67
SHIP-1213,187.17,41.8,2,5,4,7.0,4.06,Express,12.88
SHIP-1214,572.62,436.92,6,2,3,11.8,1.16,Standard,20.78
SHIP-1215,197.43,460.52,1,2,9,2.4,2.39,Express,10.98
SHIP-1216,267.07,31.48,3,3,8,8.6,4.1,Express,15.28
SHIP-1217,599.73,139.16,5,5,1,7.2,0.43,Express,18.25
SHIP-1218,523.21,403.29,4,1,6,7.2,2.0,Express,20.13
SHIP-1219,680.89,374.38,3,1,9,8.5,4.27,Express,23.64
SHIP-1220,529.51,93.08,10,4,7,11.2,2.08,Standard,27.48
SHIP-1221,458.96,105.47,5,1,4,9.5,0.48,Standard,17.07
SHIP-1222,84.0,185.87,8,3,1,1.1,2.76,Standard,15.32
SHIP-1223,300.5,242.78,4,3,2,10.3,4.32,Standard,17.04
SHIP-1224,219.51,309.51,1,1,5,3.1,2.99,Express,10.67
SHIP-1225,202.75,185.09,7,1,5,4.8,1.21,Standard,15.27
SHIP-1226,778.68,231.8,8,4,8,5.8,1.98,Express,30.89
SHIP-1227,320.55,373.99,3,1,6,6.0,2.31,Express,13.35
SHIP-1228,714.72,19.3,6,4,8,5.5,2.94,Standard,27.48
SHIP-1229,508.6,126.97,2,4,2,11.3,3.82,Express,17.4
SHIP-1230,637.9,356.96,7,1,3,8.6,0.58,Standard,25.0
SHIP-1231,407.08,447.71,8,2,6,7.8,4.46,Standard,25.93
SHIP-1232,465.75,256.33,6,2,3,1.1,0.16,Express,15.74
SHIP-1233,399.09,266.52,6,4,6,10.9,1.91,Standard,23.44
SHIP-1234,164.24,54.48,5,1,6,11.0,0.23,Express,10.1
SHIP-1235,580.74,224.26,8,2,2,9.5,2.03,Standard,24.31
SHIP-1236,231.81,266.78,1,1,7,0.6,2.68,Standard,12.12
SHIP-1237,29.21,121.99,10,1,2,1.2,2.61,Express,11.93
SHIP-1238,519.92,135.35,4,1,6,3.1,0.91,Standard,18.44
SHIP-1239,149.92,189.26,4,5,1,2.0,3.26,Standard,12.93
SHIP-1240,752.96,11.02,3,1,3,5.1,0.32,Standard,21.42
SHIP-1241,763.6,161.72,3,5,2,11.1,3.83,Express,26.1
SHIP-1242,732.74,106.51,4,4,7,5.9,4.74,Standard,29.83
SHIP-1243,302.43,164.42,1,2,4,0.7,1.76,Standard,12.19
SHIP-1244,22.21,60.76,2,2,8,3.8,2.63,Standard,8.49
SHIP-1245,743.37,445.37,9,2,6,1.0,1.96,Standard,30.67
SHIP-1246,348.27,297.2,10,2,4,0.9,0.13,Express,16.77
SHIP-1247,773.66,339.87,2,2,5,3.7,1.99,Express,22.25
SHIP-1248,771.26,394.8,5,2,9,3.7,3.98,Standard,30.12
SHIP-1249,683.88,249.72,9,2,7,9.6,3.02,Express,28.28
SHIP-1250,242.61,44.37,9,4,9,11.7,0.6,Standard,21.01
SHIP-1251,314.23,269.02,8,1,7,4.8,4.25,Express,21.14
SHIP-1252,682.4,293.83,1,3,1,5.4,2.7,Express,18.71
SHIP-1253,260.37,372.97,1,5,8,10.2,4.22,Standard,20.15
SHIP-1254,143.9,216.4,9,3,4,3.6,2.94,Express,15.39
SHIP-1255,449.87,64.66,8,3,3,2.3,2.84,Express,20.5
SHIP-1256,749.56,142.6,10,1,7,10.3,0.62,Standard,27.86
SHIP-1257,559.86,182.18,9,1,3,1.0,0.92,Standard,20.78
SHIP-1258,460.35,323.31,7,1,8,7.6,4.86,Standard,26.13
SHIP-1259,86.77,285.82,3,2,6,7.0,1.22,Express,12.47
SHIP-1260,495.86,178.69,3,4,5,4.5,4.89,Express,20.48
SHIP-1261,792.14,493.27,2,2,4,4.1,2.71,Express,24.31
SHIP-1262,120.67,303.28,5,4,8,9.4,0.77,Express,12.43
SHIP-1263,419.48,119.38,3,4,8,1.5,0.59,Express,15.85
SHIP-1264,703.12,51.79,6,3,1,3.2,1.12,Express,23.22
SHIP-1265,595.21,77.28,2,3,9,8.9,4.64,Express,21.8
SHIP-1266,560.64,123.73,3,4,5,6.8,2.13,Standard,19.46
SHIP-1267,564.96,81.18,5,4,4,2.0,2.04,Standard,21.59
SHIP-1268,294.0,94.1,1,2,6,10.6,1.63,Express,12.46
SHIP-1269,241.94,143.26,1,2,6,5.0,0.82,Standard,11.4
SHIP-1270,649.4,87.51,10,3,2,10.0,2.49,Express,26.19
SHIP-1271,649.99,448.49,9,1,8,9.6,0.74,Standard,26.63
SHIP-1272,694.99,41.04,7,4,7,7.7,4.19,Standard,30.69
SHIP-1273,731.46,262.73,1,2,1,6.2,1.91,Express,15.09
SHIP-1274,413.96,205.79,8,3,5,11.8,1.94,Standard,21.1
SHIP-1275,406.2,491.21,3,2,6,2.2,2.42,Standard,17.63
SHIP-1276,640.65,56.91,8,4,4,8.8,2.28,Standard,27.33
SHIP-1277,523.47,199.53,5,4,2,2.7,4.97,Express,23.6
SHIP-1278,564.55,484.77,1,5,4,4.4,2.77,Standard,19.81
SHIP-1279,638.68,432.89,7,1,1,4.1,0.53,Express,21.42
SHIP-1280,713.1,408.72,5,5,7,11.4,3.07,Standard,28.55
SHIP-1281,277.02,129.69,6,3,2,11.6,0.84,Express,13.55
SHIP-1282,306.71,86.27,6,2,2,2.6,0.25,Express,12.82
SHIP-1283,84.25,334.65,8,3,9,0.8,4.86,Standard,18.84
SHIP-1284,466.84,464.76,9,4,5,8.8,3.89,Standard,27.97
SHIP-1285,38.39,278.82,2,5,2,5.3,4.9,Standard,11.67
SHIP-1286,377.82,286.23,9,5,9,1.5,2.44,Express,22.56
SHIP-1287,438.69,140.71,10,5,9,8.4,2.71,Standard,28.46
SHIP-1288,236.37,384.98,9,3,1,6.8,0.92,Standard,15.58
SHIP-1289,476.76,94.33,10,4,3,11.8,1.31,Standard,24.11
SHIP-1290,34.1,162.52,10,2,4,3.1,4.21,Standard,14.33
SHIP-1291,39.51,213.29,7,2,7,5.1,1.85,Standard,15.36
SHIP-1292,659.85,254.3,1,3,4,6.7,4.15,Express,22.68
SHIP-1293,294.55,121.96,7,5,2,9.6,3.57,Express,21.87
SHIP-1294,110.38,58.3,10,1,7,6.8,0.97,Standard,16.98
SHIP-1295,422.57,305.7,5,3,6,7.5,2.59,Standard,19.25
SHIP-1296,618.29,145.03,6,3,3,3.1,3.42,Standard,24.99
SHIP-1297,180.5,291.04,10,4,6,10.2,1.25,Express,16.67
SHIP-1298,502.08,78.03,7,2,6,5.4,4.17,Express,24.5
SHIP-1299,77.42,241.09,5,3,5,2.1,2.77,Express,9.99
SHIP-1300,50.83,266.76,7,3,4,8.1,0.91,Express,9.39
SHIP-1301,429.77,26.86,9,5,1,3.0,2.96,Standard,20.57
SHIP-1302,437.1,168.97,3,5,6,1.6,5.0,Express,19.95
SHIP-1303,513.57,68.07,8,1,2,10.4,0.84,Express,17.76
SHIP-1304,583.61,32.62,2,4,3,5.8,4.1,Standard,20.1
SHIP-1305,780.92,494.99,7,1,8,9.1,1.12,Express,28.92
SHIP-1306,417.88,161.85,2,5,6,3.8,3.93,Standard,20.63
SHIP-1307,265.14,405.13,4,2,3,9.6,3.7,Express,15.36
SHIP-1308,638.2,128.07,7,5,7,1.8,1.57,Standard,28.08
SHIP-1309,223.96,341.07,3,4,4,4.6,1.7,Standard,14.02
SHIP-1310,356.79,380.35,2,5,9,11.7,3.98,Express,18.86
SHIP-1311,71.98,298.22,10,4,5,9.6,2.36,Standard,15.72
SHIP-1312,30.03,236.32,7,4,3,6.2,3.68,Standard,13.61
SHIP-1313,770.49,206.51,1,4,2,4.4,0.83,Standard,22.9
SHIP-1314,670.42,175.09,8,4,2,10.5,4.28,Express,25.68
SHIP-1315,559.82,464.84,3,4,3,6.8,3.58,Standard,22.81
SHIP-1316,333.07,415.48,2,2,2,9.2,4.54,Standard,17.8
SHIP-1317,146.9,482.55,3,1,4,9.2,0.75,Express,9.01
SHIP-1318,133.59,63.02,5,3,2,0.7,3.01,Express,11.45
SHIP-1319,207.69,365.7,8,1,9,2.0,3.04,Standard,19.5
SHIP-1320,443.89,469.23,10,4,2,8.1,1.83,Express,22.61
SHIP-1321,574.53,91.44,7,2,9,2.4,2.35,Express,25.09
SHIP-1322,531.56,34.18,7,5,6,3.4,0.29,Express,19.58
SHIP-1323,231.15,370.82,7,2,1,11.4,3.75,Standard,17.75
SHIP-1324,764.34,287.66,8,4,4,6.9,2.79,Standard,27.57
SHIP-1325,592.94,421.07,1,2,1,9.1,0.38,Standard,13.91
SHIP-1326,447.94,70.75,4,2,6,6.9,3.44,Standard,19.93
SHIP-1327,493.26,397.84,6,4,4,6.9,2.39,Standard,23.19
SHIP-1328,341.48,101.61,9,2,3,1.6,0.27,Standard,19.02
SHIP-1329,205.71,82.66,2,3,3,4.5,4.85,Express,15.58
SHIP-1330,291.22,82.97,1,3,9,3.7,4.75,Standard,18.9
SHIP-1331,608.7,407.47,10,2,6,5.0,2.61,Standard,28.57
SHIP-1332,21.37,332.93,2,5,9,9.7,0.56,Express,9.51
SHIP-1333,101.7,262.01,7,4,5,4.8,3.8,Standard,15.0
SHIP-1334,46.34,180.06,3,3,2,5.7,2.51,Standard,9.19
SHIP-1335,42.18,438.72,10,5,8,5.1,1.58,Express,18.06
SHIP-1336,685.81,196.83,2,2,5,1.6,2.51,Standard,22.65
SHIP-1337,565.89,408.48,7,5,2,5.6,2.66,Express,21.71
SHIP-1338,384.6,220.13,2,1,4,2.7,2.86,Express,14.3
SHIP-1339,87.29,189.1,3,3,9,2.6,2.26,Standard,13.08
SHIP-1340,398.38,231.88,7,2,4,1.6,3.07,Express,18.98
SHIP-1341,384.04,151.39,4,4,4,4.6,4.6,Standard,20.21
SHIP-1342,146.83,374.06,1,2,2,9.2,1.88,Standard,10.08
SHIP-1343,352.74,251.86,5,4,6,3.7,3.66,Standard,21.22
SHIP-1344,324.82,116.87,9,2,2,4.1,4.48,Standard,20.05
SHIP-1345,496.52,449.89,8,5,7,7.9,2.33,Express,25.2
SHIP-1346,511.72,192.56,9,5,3,2.8,2.27,Standard,24.34
SHIP-1347,45.79,272.23,10,5,3,10.8,3.05,Standard,16.01
SHIP-1348,305.94,453.33,9,1,5,6.5,3.0,Standard,19.8
SHIP-1349,504.43,312.49,7,4,3,5.6,4.05,Standard,22.65
SHIP-1350,407.48,59.33,4,5,2,6.9,2.43,Standard,19.57
SHIP-1351,686.63,469.98,5,1,9,2.4,4.98,Standard,28.52
SHIP-1352,530.37,314.23,1,4,2,7.6,0.39,Express,14.46
SHIP-1353,138.72,168.12,1,2,2,4.7,0.12,Standard,8.2
SHIP-1354,65.75,70.5,3,1,8,10.8,3.24,Standard,12.06
SHIP-1355,517.51,397.22,8,3,9,2.4,1.56,Standard,23.03
SHIP-1356,30.94,310.42,2,1,7,6.3,1.28,Standard,7.62
SHIP-1357,472.76,267.2,4,1,3,7.4,1.63,Express,17.82
SHIP-1358,752.78,447.05,2,4,9,0.9,1.35,Standard,24.19
SHIP-1359,464.62,394.51,5,2,3,4.7,0.25,Standard,17.53
SHIP-1360,316.65,76.69,9,3,5,8.9,4.86,Standard,24.13
SHIP-1361,518.2,156.55,1,5,9,9.9,1.18,Express,19.46
SHIP-1362,372.02,125.0,5,5,3,4.1,3.7,Express,21.44
SHIP-1363,441.04,372.23,9,1,7,9.7,3.84,Standard,23.56
SHIP-1364,753.76,17.73,1,4,1,11.6,4.65,Express,21.74
SHIP-1365,315.02,285.37,9,4,4,10.4,0.25,Express,16.46
SHIP-1366,769.34,381.47,8,5,4,1.9,4.37,Express,29.85
