shipment_id,region,transport_mode,shipment_volume_kg,distance_km,delivery_time_days,transport_cost_inr,fuel_cost_inr,on_time
SHP1041,South,Road,374.35,599.88,4.7,4079.84,1307.47,1
SHP1042,North,Air,196.23,598.35,1.9,9295.23,3942.0,0
SHP1043,Central,Road,1100.07,1365.59,5.6,8736.05,3016.95,1
SHP1044,South,Road,408.7,1502.7,6.9,5580.69,1950.04,1
SHP1045,East,Rail,251.92,1471.21,3.8,5871.46,1355.78,1
SHP1046,South,Air,454.74,274.14,1.7,12063.19,4461.64,1
SHP1047,East,Road,373.11,2199.78,6.9,6757.57,2497.76,1
SHP1048,East,Rail,348.28,700.72,4.4,4601.1,1260.8,0
SHP1049,North,Road,283.62,367.31,2.2,2671.34,892.77,1
SHP1050,Central,Road,274.88,2227.43,7.3,5545.55,1950.99,1
SHP1051,West,Rail,131.81,2391.35,10.1,6329.84,1659.85,1
SHP1052,Central,Rail,836.92,2162.21,7.9,7949.32,1752.95,1
SHP1053,Central,Rail,558.5,2033.31,8.4,7131.98,1703.64,0
SHP1054,East,Air,481.19,1655.34,3.1,13785.61,5633.38,1
SHP1055,Central,Sea,369.48,1399.6,12.7,7103.21,1942.82,1
SHP1056,North,Rail,208.63,263.12,3.7,3485.32,915.36,1
SHP1057,North,Road,241.86,1050.71,4.0,4407.69,1339.2,1
SHP1058,North,Air,142.97,963.09,2.5,8692.51,3546.97,1
SHP1059,South,Road,261.61,686.4,3.6,2719.11,946.34,1
SHP1060,South,Road,189.26,1822.38,6.0,4615.57,,1
SHP1061,South,Road,971.92,1264.9,5.3,7698.95,2869.34,1
SHP1062,West,Road,657.15,248.56,3.9,4225.17,1368.62,1
SHP1063,South,Sea,419.25,589.45,9.2,6022.64,1685.25,1
SHP1064,South,Air,223.95,1723.98,3.1,11538.75,4645.59,1
SHP1065,East,Rail,195.93,236.52,3.2,4051.95,1185.28,1
SHP1066,North,Road,355.16,2135.46,7.8,6194.69,2015.77,1
SHP1067,West,Road,672.46,1263.11,7.3,7166.1,2517.39,1
SHP1068,North,Road,145.92,1227.44,5.8,4072.13,1489.57,0
SHP1069,Central,Road,554.35,1501.4,6.6,6078.13,2231.31,1
SHP1070,West,Rail,260.86,2070.47,9.2,6081.58,1546.86,1
SHP1071,North,Air,292.15,902.13,2.2,10207.76,4028.05,1
SHP1072,North,Rail,412.0,1711.14,7.0,6108.62,1403.02,0
SHP1073,West,Road,229.03,1436.04,5.9,4769.9,1682.39,1
SHP1074,West,Sea,344.28,704.22,8.4,5825.18,1586.73,1
SHP1075,West,Air,216.33,2202.64,3.7,11401.44,4122.37,1
SHP1076,West,Rail,274.7,2003.69,8.7,6548.1,1702.51,1
SHP1077,North,Rail,615.03,1663.21,7.2,7435.23,1994.4,1
SHP1078,South,Road,424.83,2133.93,8.7,7087.41,2126.15,1
SHP1079,North,Road,613.72,2174.87,8.1,6781.6,2222.1,0
SHP1080,Central,Road,258.65,1785.49,7.2,4065.2,1515.69,1
SHP1081,East,Air,556.68,2100.68,3.0,15798.34,6627.96,1
SHP1082,South,Road,119.11,1758.81,7.8,3990.77,1399.89,0
SHP1083,North,Road,411.89,1716.34,7.2,5815.63,1926.27,1
SHP1084,South,Road,577.7,1565.6,7.3,5862.99,2024.61,0
SHP1085,South,Road,115.44,1894.16,5.1,3959.73,1592.14,1
SHP1086,West,Sea,260.64,438.58,10.3,5449.88,1538.07,1
SHP1087,East,Air,411.72,2208.13,3.7,14132.41,5533.09,1
SHP1088,Central,Rail,700.59,2186.02,9.6,7592.54,1825.72,1
SHP1089,South,Road,274.68,121.66,1.5,1623.03,425.06,1
SHP1090,North,Rail,544.32,2073.25,8.8,6969.71,1760.83,1
SHP1091,West,Rail,867.21,365.73,2.9,5846.13,1705.23,1
SHP1092,West,Road,558.66,871.04,4.0,4581.07,1651.84,1
SHP1093,East,Road,352.3,1871.6,8.9,5984.43,2056.7,1
SHP1094,West,Road,497.97,443.86,3.1,4399.0,1495.88,1
SHP1095,South,Rail,269.54,2054.02,8.4,6679.3,1435.35,1
SHP1096,East,Rail,421.59,2088.73,9.1,6957.66,1871.88,1
SHP1097,South,Road,363.07,1293.3,6.1,4587.23,,0
SHP1098,North,Road,488.53,65.65,2.3,4395.15,1511.23,1
SHP1099,North,Rail,307.36,753.24,5.2,4472.68,1597.14,1
SHP1100,North,Rail,504.61,1561.47,9.3,6342.38,1630.41,1
SHP1101,East,Sea,305.49,2453.91,17.2,7825.21,2234.79,1
SHP1102,South,Rail,653.57,1597.94,7.2,6635.98,1595.04,1
SHP1103,East,Road,325.34,686.52,4.8,3551.41,1415.26,1
SHP1104,Central,Road,79.66,1603.31,7.5,4176.96,1478.93,1
SHP1105,North,Rail,200.4,1372.96,7.6,6016.49,1288.38,1
SHP1106,South,Road,404.53,1960.62,8.1,5575.36,2089.26,1
SHP1107,West,Rail,967.19,312.1,2.6,5062.94,1165.51,1
SHP1108,North,Sea,639.5,1914.52,17.0,8886.37,2946.91,0
SHP1109,North,Rail,66.06,1376.1,5.3,4657.67,1326.42,0
SHP1110,South,Road,136.14,2409.33,9.1,5392.09,1820.13,0
SHP1111,North,Rail,750.66,887.59,4.5,6603.32,1842.98,1
SHP1112,Central,Rail,575.88,1599.92,6.9,6324.71,,1
SHP1113,West,Rail,1253.84,2333.47,9.2,10674.73,2796.6,1
SHP1114,East,Sea,297.7,301.15,7.0,5386.09,1688.54,1
SHP1115,Central,Road,225.86,2346.21,9.0,5791.73,1900.15,1
SHP1116,West,Sea,417.79,1735.32,16.1,8517.21,2458.63,0
SHP1117,North,Sea,294.04,216.2,6.8,4609.52,1537.35,1
SHP1118,Central,Road,711.77,787.36,4.1,6255.05,2139.05,1
SHP1119,East,Road,287.63,1785.02,7.9,5621.51,1906.98,1
SHP1120,West,Road,337.47,215.01,3.6,3992.0,1253.93,1
SHP1121,Central,Road,204.96,1476.32,5.2,5417.56,1959.69,1
SHP1122,South,Road,615.55,897.41,5.0,5632.09,2280.61,0
SHP1123,North,Rail,213.97,1571.24,7.6,5122.06,1120.39,1
SHP1124,North,Road,510.06,162.07,2.2,4268.36,1497.56,1
SHP1125,South,Road,1058.33,2185.27,9.3,9201.53,3432.37,1
SHP1126,West,Air,103.35,2435.05,4.0,11399.47,4547.84,1
SHP1127,Central,Road,889.75,2423.75,9.0,9207.77,3290.58,1
SHP1128,North,Air,472.57,1886.65,3.3,13818.15,5367.9,1
SHP1129,East,Road,182.8,368.71,3.1,2968.01,1103.05,1
SHP1130,South,Road,427.4,1907.74,6.6,5611.35,1935.9,1
SHP1131,North,Rail,605.41,110.24,1.8,3995.78,1146.8,1
SHP1132,North,Rail,235.94,104.2,4.9,3964.33,1169.19,1
SHP1133,South,Sea,526.96,842.85,7.9,5989.75,2185.36,1
SHP1134,Central,Air,930.92,1247.18,2.3,18018.35,7294.28,1
SHP1135,South,Air,287.39,1937.5,2.8,12123.26,4898.17,1
SHP1136,East,Road,203.27,1724.07,6.4,5593.67,1986.94,0
SHP1137,West,Road,369.97,1142.46,4.2,5238.03,1780.34,1
SHP1138,South,Air,413.81,720.39,2.4,12044.33,4868.5,1
SHP1139,Central,Air,732.34,2492.96,4.4,17649.12,7015.34,1
SHP1140,Central,Sea,362.53,1094.14,9.4,5655.36,1721.88,1
SHP1141,South,Road,304.28,1155.9,7.1,5353.78,2071.46,1
SHP1142,South,Road,199.78,450.88,4.1,2913.99,,1
SHP1143,South,Air,116.15,1997.28,3.4,9764.3,4076.7,0
SHP1144,South,Road,159.92,1749.52,5.0,5508.02,2125.37,1
SHP1145,North,Sea,159.24,590.89,11.4,5482.93,1627.17,1
SHP1146,East,Sea,339.72,251.83,4.2,5285.13,1267.26,1
SHP1147,East,Road,133.22,1717.22,5.6,5757.82,1924.06,1
SHP1148,North,Air,386.85,1653.55,3.4,12300.77,5114.86,1
SHP1149,South,Air,1045.34,719.49,2.6,19587.24,7831.47,1
SHP1150,Central,Road,744.27,2379.62,9.9,8447.15,2806.61,0
SHP1151,North,Sea,337.68,420.09,7.9,5439.79,1556.22,1
SHP1152,North,Rail,1419.43,1109.22,6.4,9186.35,2422.68,1
SHP1153,South,Air,414.68,2361.86,4.2,14272.87,5791.16,1
SHP1154,Central,Road,450.51,1078.33,5.7,5413.94,1859.04,1
SHP1155,North,Sea,365.67,1614.39,13.5,7689.18,2251.73,0
SHP1156,East,Road,392.03,1024.11,5.0,4617.82,1557.47,1
SHP1157,West,Road,281.11,721.83,4.0,3428.14,1061.49,0
SHP1158,North,Sea,340.74,2460.75,16.2,7850.2,2597.37,1
SHP1159,West,Road,893.08,1052.87,4.8,6114.99,2091.9,1
SHP1160,South,Road,789.45,2240.54,7.0,9441.44,3487.08,0
SHP1161,East,Sea,76.75,613.39,7.9,4521.98,1584.79,1
SHP1162,East,Sea,144.8,572.11,6.4,5037.14,1660.89,0
SHP1163,East,Rail,238.12,126.28,2.2,3265.37,751.6,1
SHP1164,North,Rail,675.76,1646.58,7.3,7150.85,1848.27,1
SHP1165,West,Road,799.3,952.89,5.8,6934.05,2423.29,1
SHP1166,South,Road,604.09,2167.68,8.9,7900.16,2629.5,1
SHP1167,North,Road,182.28,1209.36,4.2,3842.76,1393.62,1
SHP1168,North,Rail,284.78,2422.07,8.1,6903.88,1549.11,1
SHP1169,East,Air,532.24,504.54,1.9,12784.98,5292.14,1
SHP1170,East,Air,343.97,2178.13,3.4,12770.49,5038.5,1
SHP1171,North,Air,315.03,1952.66,3.4,13013.02,5235.38,1
SHP1172,East,Road,317.94,1938.76,8.0,6084.36,2172.02,1
SHP1173,North,Rail,756.48,2119.72,7.3,8316.46,2040.28,1
SHP1174,East,Road,563.58,1914.51,7.6,7239.32,2621.77,1
SHP1175,North,Rail,328.87,1584.24,5.6,6449.71,1541.19,1
SHP1176,East,Road,485.32,371.55,2.6,4331.78,1646.82,1
SHP1177,South,Sea,165.14,129.69,6.1,3876.4,961.02,1
SHP1178,Central,Road,285.14,2306.08,7.3,6442.09,2273.69,1
SHP1179,North,Road,715.9,1560.79,6.8,6737.06,2648.81,0
SHP1180,South,Road,127.03,2001.52,7.7,4809.61,1533.31,1
SHP1181,North,Air,567.56,1229.73,2.7,14448.5,5677.74,1
SHP1182,Central,Rail,76.05,337.41,4.1,3853.41,1040.44,1
SHP1183,Central,Road,976.05,356.71,4.1,6437.93,2280.21,1
SHP1184,South,Road,280.82,1729.63,7.0,5512.55,1981.99,1
SHP1185,East,Air,505.95,1104.25,2.3,14078.88,5704.93,1
SHP1186,West,Road,428.64,541.29,3.6,4361.19,1621.62,1
SHP1187,East,Air,437.96,1254.41,2.7,13937.98,5741.65,1
SHP1188,East,Air,480.23,207.31,1.3,11856.48,4804.06,0
SHP1189,North,Road,110.31,1475.83,6.2,3329.76,1129.23,0
SHP1190,North,Road,443.33,709.03,3.5,4935.2,1828.21,1
SHP1191,Central,Sea,356.6,2004.02,14.0,7909.81,2657.93,1
SHP1192,Central,Road,281.82,810.39,3.2,4628.65,1600.13,1
SHP1193,East,Road,238.04,1165.29,6.7,4655.71,1483.32,1
SHP1194,South,Air,449.92,78.47,1.0,10947.52,4545.07,1
SHP1195,South,Sea,205.02,227.49,5.1,4139.13,1223.68,1
SHP1196,West,Sea,708.76,1011.61,9.0,6830.42,1723.23,1
SHP1197,Central,Air,527.29,1225.85,2.8,13240.99,5423.51,1
SHP1198,Central,Road,466.05,1520.05,6.1,5587.04,1875.16,1
SHP1199,West,Road,692.22,764.57,5.2,6056.13,2106.07,0
SHP1200,East,Air,97.3,1752.71,3.0,10131.62,4102.45,1
SHP1201,North,Rail,161.31,2157.3,8.7,6417.22,1632.88,1
SHP1202,North,Road,540.67,1960.63,,6276.02,2303.02,1
SHP1203,Central,Sea,247.26,147.07,9.0,4937.43,1415.91,0
SHP1204,East,Road,268.13,1227.24,4.6,5145.76,1877.98,1
SHP1205,North,Rail,144.91,307.08,4.1,3090.46,733.68,1
SHP1206,North,Road,205.42,643.01,4.3,3321.9,1273.49,1
SHP1207,East,Rail,717.58,2467.32,9.6,8361.06,2182.57,1
SHP1208,North,Road,533.41,399.11,3.0,4106.56,1296.98,1
SHP1209,North,Road,447.01,1272.28,5.5,5744.11,2173.34,0
SHP1210,East,Road,274.92,1564.48,6.5,5023.39,1677.79,0
SHP1211,East,Rail,430.64,1771.04,7.3,6658.25,1785.77,1
SHP1212,East,Air,752.72,1421.14,3.1,16220.6,6543.33,1
SHP1213,North,Rail,251.3,73.94,5.4,3146.08,1062.25,0
SHP1214,West,Sea,391.49,849.83,8.4,6418.92,1892.16,1
SHP1215,North,Road,1009.43,1318.39,4.7,7833.6,2689.36,0
SHP1216,South,Road,599.61,265.27,2.7,5459.63,1907.96,1
SHP1217,West,Sea,277.44,909.04,13.4,5718.62,1670.11,1
SHP1218,East,Road,572.46,131.35,1.7,4385.44,1654.9,1
SHP1219,West,Sea,125.48,242.52,8.7,5081.04,1281.87,1
SHP1220,East,Road,382.04,1022.46,6.3,4043.69,1257.24,1
SHP1221,East,Sea,572.11,375.15,6.0,4826.54,1287.79,1
SHP1222,North,Road,500.54,1440.48,6.6,5150.32,1945.16,1
SHP1223,South,Sea,568.98,1739.19,16.1,8378.04,2770.0,1
SHP1224,South,Rail,641.01,2011.44,7.6,7164.26,1775.4,1
SHP1225,North,Sea,523.35,540.37,7.4,7136.35,2115.58,0
SHP1226,Central,Road,514.73,460.33,2.8,4224.66,1489.14,0
SHP1227,South,Rail,453.06,306.19,2.8,4410.74,1276.97,1
SHP1228,Central,Sea,189.33,1609.25,12.1,7563.59,2129.97,0
SHP1229,East,Rail,717.4,1780.87,6.2,8326.55,2117.39,1
SHP1230,West,Rail,390.39,127.39,3.4,4893.01,1369.53,1
SHP1231,East,Rail,591.23,2343.72,8.1,8393.45,2173.53,0
SHP1232,East,Rail,676.66,177.33,3.7,5308.01,1355.44,1
SHP1233,South,Rail,286.44,1376.18,4.9,5719.85,1580.12,1
SHP1234,North,Rail,302.73,1787.2,,6478.17,1214.06,0
SHP1235,West,Sea,328.95,2183.87,17.2,7658.11,2399.11,1
SHP1236,South,Road,793.18,1799.51,5.5,7359.48,2477.71,0
SHP1237,North,Road,218.45,2014.23,8.1,5502.68,1651.34,0
SHP1238,East,Sea,869.43,881.65,11.2,6976.24,2169.55,1
SHP1239,North,Sea,450.1,2046.32,13.4,7743.07,2528.97,0
SHP1240,Central,Rail,469.04,246.28,5.3,4624.73,1135.57,1
SHP1241,Central,Rail,659.88,2242.3,9.0,8320.74,2223.12,1
SHP1242,Central,Road,420.5,1391.6,5.4,5523.85,2175.19,1
SHP1243,South,Road,721.87,2052.38,7.8,8565.75,3195.25,0
SHP1244,North,Rail,286.2,1158.18,6.5,4525.03,1377.25,1
SHP1245,Central,Road,854.05,1626.77,6.7,7686.55,2801.61,1
SHP1246,South,Rail,300.5,1339.69,6.9,5052.62,1274.47,1
SHP1247,Central,Road,872.07,1842.39,6.5,7254.63,2298.83,0
SHP1248,Central,Sea,305.65,249.99,6.5,4944.94,1446.57,1
SHP1249,Central,Sea,334.87,197.86,3.9,4905.66,1345.21,1
